x,y,Temperature
2.000000000000000111e-01,2.500000000000000000e-01,1.000000000000000000e+02
9.659228898865805657e-02,2.824917454635967884e-01,7.378502328638478502e+01
7.843158460501445384e-02,2.878163800164890707e-01,7.149802189129434282e+01
5.959503150885397255e-02,2.681303947441386337e-01,7.253144041140839704e+01
5.921828481737884120e-02,2.918830169591020152e-01,6.898928365786507300e+01
8.368708153438106367e-02,3.771937409272162478e-01,6.283864798709281274e+01
8.322787142522233839e-02,2.705424224478798489e-01,7.350075844631605548e+01
4.635646399014922009e-02,3.017515534807682642e-01,6.628359287937814770e+01
1.529829292915403649e-01,2.342764547434635081e-01,8.370474824991674723e+01
2.880057636659199768e-02,3.219325284462329906e-01,6.407443130055668234e+01
9.590772007999033566e-02,2.574836823595446078e-01,7.521375753690622901e+01
9.316131088540241523e-02,2.292590988878321356e-01,7.646746672935276479e+01
1.077514824934909105e-01,2.666403595152800898e-01,7.574533036039161971e+01
4.843772539647105829e-02,3.400946681545933825e-01,6.388222197566790328e+01
2.873287628118239428e-02,2.951841386347673346e-01,6.730949083479433170e+01
1.373755053308167717e-01,2.260376475569194910e-01,8.137815259821294944e+01
1.152744040191770319e-01,2.277306666828633475e-01,7.687027356266600009e+01
1.591780627181966223e-01,2.002622526195366737e-01,8.707602216414946383e+01
1.264630372029143801e-01,2.085958951810150119e-01,8.075506629704912598e+01
5.844476383623681270e-02,3.163748085746128647e-01,6.533366998888709531e+01
1.223462381308992042e-01,3.854834155695932574e-01,6.594053250881088957e+01
8.113486358439939150e-02,3.526192559512766889e-01,6.523564293248729484e+01
9.820747517246901370e-02,3.444195432756522735e-01,6.768241371985580201e+01
4.316261049654786935e-02,3.166997677221669583e-01,6.460182879796164457e+01
4.248174989003151297e-02,2.797382553564414231e-01,6.970665846132598631e+01
0.000000000000000000e+00,2.624999999999999556e-01,7.120949729135345763e+01
3.167962196397114405e-02,2.453940046390804541e-01,7.210457086952283134e+01
2.018139568991295790e-02,2.737300956560291265e-01,7.078535308560641681e+01
4.222904118410279045e-02,2.609468431903797514e-01,7.174216312896838588e+01
5.655311151591882468e-02,2.398766611634446377e-01,7.333546920248494416e+01
1.231200532895114080e-01,2.400155994645656876e-01,7.780091682211741499e+01
1.693252176551186816e-01,2.313143979665125971e-01,8.667544136740445992e+01
1.844801258172774350e-01,2.409567679568438148e-01,9.233688922173683977e+01
2.000000000000000111e-01,2.750000000000000222e-01,1.000000000000000000e+02
1.832440156875410620e-01,2.609172801990411461e-01,9.289233666593811733e+01
